Instance,#cols,#rows,DXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
Switch.txt,79,6676,66.0190,14609534147869034498645225042741563493852570131027835228880000,7,,18630
SwitchL3.txt,62,18502,486.6096,140822025203406064685989130459371048023581344368012624053779200,7,,29340
Syringa.txt,55,8950,46.3111,6186634853639282671231090617484420800,8,,9194
TataNld.txt,65,11943,164.5589,260983043412261592981145570554786864292045010000,12,,9279
Telcove.txt,51,5471,22.0597,3729056438843059625929631747410057959406813644121063458,16,,6384
Tinet.txt,59,4911,23.9091,2670635259240834118035453297853115718633384312143406518966400,7,,14606
Tw.txt,79,12755,125.5539,59186321770984041356846605313285241760704607842264505037322240000,18,,12872
Ulaknet.txt,38,4412,7.1936,25091016529638677941716833121520736247187500,13,,4661
Uninett2010.txt,74,4863,328.7605,7103435552897234490478459068470713659251410809159524733716443100993418521899065035036352101164224,4,,545601
Uninett2011.txt,69,3545,36.1096,13536445827818292423840645586359869677357641102109242572525876547669920342128481450148364563456,7,,193731
UsCarrier.txt,88,16653,408.8336,494830411885041260424830122222636927900512637518610110000,8,,16848
UsSignal.txt,62,17215,1118.5862,38280886146152905012005974196992788636080,4,,29298
Uunet.txt,65,18711,247.6393,6216666147457984708300994148521401269197824662920448385106083776179808000,10,,24176
VtlWavenet2008.txt,137,20023,TO,,,,
VtlWavenet2011.txt,143,7362,69.8151,13486323596215757120861757926748724539647280,8,,7474
bell-09.txt,9,511,2.4439,21147,1,,3536
bell-10.txt,10,1023,12.6965,115975,1,,10353
delta.txt,126,1194,230.6947,78,1,,331
dominoes_10x10.txt,100,180,0.8271,258500842280,1,,13547
dominoes_8x8.txt,64,112,0.1484,12988816,1,,2316
doublefact-17.txt,18,153,3.3043,34459425,1,,30510
doublefact-19.txt,20,190,10.4991,654729075,1,,89665
exotic_fives.txt,72,2440,TO,,,,
grafo10116.100.txt,100,3650,7.0266,765687449110919039481918058780350854922831102503955916950822366080983152391670975786180707241066656238295751454446463110370849767891077600,9,,64081
grafo10184.100.txt,100,6383,58.8297,28939437741364204985037435001634855587932164940600619679152115959889712942274720552397177332896083184230097406579570052757684387017678898648637500,9,,145849
grafo10204.100.txt,100,7061,1309.9730,335967672732852313881035711842879229509995281523401322131764089711008062019678985314584099288652839552025583922454318495494972492019500462560,6,,1745993
grafo10237.100.txt,100,6291,TO,,,,
grafo10259.100.txt,100,8183,90.6442,67982912973672368127496720651405036557517535199739910450796991663232789697551020006252976209219092643573672711025763343070571373374469166308491264000,12,,125516
grafo10292.100.txt,100,8272,TO,,,,
grafo10305.100.txt,100,3219,10.8763,10515647702635986591165231354637412157055585194540536047502477450445240980647602148147720539158738283973290282476568318000000000000,11,,114981
grafo10418.100.txt,100,7378,185.8131,811624564261399938523155771854423941513422620715189621331955309691902672814640685579066922008087049241978320623733030399489960960,8,,189331
grafo10446.95.txt,95,10849,TO,,,,
grafo10469.100.txt,100,7159,387.5529,4157598366579431982581608724787042045508705195705700343591380192711039601634037208656564170411647518824789500806867970977005899698304,8,,942123
grafo10492.96.txt,96,3029,22.3091,604197525402489233087434577546646353931431863605052721838779844744195716660098433647665709016122664512444378657400916,8,,126784
grafo10508.100.txt,100,6396,140.3838,141781781442404423920723106499922004936739450441845267348794566476125750975537486106644961997051296992780604531074112656309148565000,9,,143304
grafo10534.100.txt,100,7172,309.7770,2160906908438028788640564135537007805851214409877842850763148977429768225443658312052898934097662910630523065594443860516985030820744225226796319960,6,,721301
grafo10538.100.txt,100,7602,TO,,,,
grafo10632.100.txt,100,10530,TO,,,,
grafo10638.100.txt,100,6057,147.6351,58798154987930748142356689023066524134972452830234548533920035264711861192018213924080768275657180327218564188627949184000,8,,190234
grafo10644.100.txt,100,8391,166.4083,3761888793510632148976219092308991315881836514785673154090946139037848253786837614433519408920886586362471018600741886179333120693634634017039222361856,9,,309282
grafo10646.100.txt,100,8751,TO,,,,
grafo10652.100.txt,100,3605,192.6387,35273779331995867402399092652579208026454727134817020615736031066882347940213083088826579919376666557693525540140685739284480,6,,902850
grafo10653.100.txt,100,5825,313.6690,5669589842705053763596004693257264534896315808583397983312923495750230167445586911296392134569518758044240069068207508937544320,8,,266423
grafo10671.100.txt,100,8256,TO,,,,
grafo10772.100.txt,100,9508,TO,,,,
grafo10781.100.txt,100,6181,866.3715,121591851365279040582510817076521297645140201837134655889729837971827391862414163819753857359217447510778117842660054148957916623733718217910000,7,,1636871
grafo10820.100.txt,100,7958,145.9336,62304041443136332894755579292092323883861809462756573021771290216866323457306768598500987648955478292695549975106699229973197960603322449920,10,,256788
grafo10865.100.txt,100,3804,207.0739,25873206711570194768373506341145969271872013503833218425477709677827234536580585942575477242327928330093063913867305676800,8,,383630
grafo10928.100.txt,100,6295,TO,,,,
grafo10958.98.txt,98,11843,TO,,,,
grafo10962.100.txt,100,5312,47.8892,733629969889729858273756690318648542002040978521228694077465906537723039741317960883190826279493041003495749233450400,7,,86451
grafo10998.100.txt,100,9060,TO,,,,
grafo11003.100.txt,100,5238,161.6895,33783559834412100539586287338288118660479847447949715031552502612484959700032691853884871361426389452517783106352174187520,8,,176479
grafo11020.100.txt,100,5445,29.1280,271075901978088211411891489147565733566493442220641529282070064827604272843373067023225995071483326111282355335587769354570329578648894736685056,8,,88780
grafo11073.100.txt,100,7237,119.2456,213655267226321957761359262588465770620675602413420269789612430077811254358917302444901424673222727971715996232064026522731504490960219354350026595821747200,8,,171088
grafo11125.100.txt,100,4896,177.8339,28257983774817509307478954131063841628685453828023538175795502655448593607556331726268028129463299606046904964675275934400,7,,310700
grafo11227.100.txt,100,8182,240.0756,410566782706717734092054138098430765398066138269753369918931277465785967865109021654513969795416197748132225199738977530028360757627340768890128864000,9,,547341
grafo11335.100.txt,100,6894,92.7708,153523062642613271606000375063110420755465135127254193221034620516491994331374070890765616150563383507449365999364601326387200,9,,122504
grafo11458.100.txt,100,5091,305.0977,394214292218002481804605355385881767379355196103863388991831464157922396279642757286743619748364865454080,7,,291244
grafo3532.99.txt,99,7212,TO,,,,
grafo7797.100.txt,100,4313,55.0801,743512892248581148873007929360043807584222787255355078617605042728215298215815749421676954423634176955695826000,8,,116178
grafo7907.80.txt,80,10912,TO,,,,
grafo8127.78.txt,78,2161,10.8966,1206656064780333283350008096550461368523657087186095375198961778533306026234699876520727148416,8,,143156
grafo8510.100.txt,100,3701,188.2913,24882758585662129120096101197731625564561758828226418505691828855697513440218331111096983455791637671879168644782479707571931316224,8,,625317
grafo8805.80.txt,80,10094,TO,,,,
grafo8812.99.txt,99,7246,204.2405,6024145170723578995737413094257815351498080752299834533678337341047983910606825462398216524546102116846179596860247143356324492981380326400,8,,264710
grafo8826.100.txt,100,7961,TO,,,,
grafo8882.100.txt,100,15209,TO,,,,
grafo8892.100.txt,100,6425,TO,,,,
grafo8921.98.txt,98,8588,119.7789,3613644170304124635237566772262894841079760817251373967936457623069415679320916824454066308447574201498511621508292406829824,9,,159583
grafo9691.79.txt,79,7004,TO,,,,
grafo9738.100.txt,100,7087,177.2412,556788794044961729404700471276667934897256194109894046445887890016818535594970910809789644352932878022498462223093454286707224084759238495600640,8,,439114
grafo9788.80.txt,80,7477,579.0179,1236561642731006733396347002062243752488487105527680316620652525869934038965896985026612813434963642565367544,7,,308389
heart.txt,180,926,TO,,,,
kts15-ptpt-0020.txt,132,391,2.6173,8,1,,171
kts15-ptpt-0021.txt,132,388,2.5060,72,1,,1139
latin7-blk-00008.txt,90,126,9.3651,27072,1,,122203
latin7-blk-00009.txt,90,126,9.0800,27776,1,,118214
meteor.txt,60,2464,596.0027,9212,1,,2043
sppnw07.txt,36,5172,TO,,,,
sppnw08.txt,24,434,9.2853,285701,4,,11821
sppnw09.txt,40,3103,TO,,,,
sppnw10.txt,24,853,43.1066,318168,11,,25107
sppnw12.txt,27,626,16.7206,496333530,3,,4738
sppnw15.txt,31,467,2.3879,46,3,,60
sppnw19.txt,40,2879,TO,,,,
sppnw20.txt,22,685,23.0015,538696,1,,18936
sppnw21.txt,25,577,11.8986,291047,1,,13372
sppnw22.txt,23,619,16.2944,286758,1,,24057
tetrominoes_6x6.txt,36,381,25.8645,178939,1,,25819
tetrominoes_8x8.txt,64,801,TO,,,,
