Instance,#cols,#rows,DynDXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10467.100.txt,156,848,0.8738,829005255557150402856812544000,7,,85357
grafo10469.100.txt,166,769,0.3614,29833371992729329249984,7,,123700
grafo10474.94.txt,,,TO,,,,
grafo10484.99.txt,171,1813,0.2682,2800369925851353194772692875,6,,42861
grafo10488.98.txt,162,883,0.0634,147530693993345834083200,7,,23909
grafo10489.95.txt,,,TO,,,,
grafo10491.97.txt,169,3856,12.4647,637331645197964631273533460,5,,462124
grafo10492.96.txt,164,4638,5.3300,38385060996073952528012304,8,,669363
grafo10496.98.txt,176,3413,244.6302,14327587632784029994981186464,7,,777958
grafo10501.96.txt,157,847,0.4116,60200824737438188138649600000,6,,152097
grafo10502.91.txt,146,1113,0.3913,17145714310767787059504,8,,26626
grafo10508.100.txt,,,TO,,,,
grafo10516.94.txt,156,915,0.9364,15349627360704647668429728,6,,319011
grafo10522.99.txt,164,2148,0.8271,1368022910682647106522103772160,11,,135550
grafo10523.97.txt,161,1455,4.9636,2585358559737244414126080,7,,18131
grafo10532.99.txt,163,953,1.2944,462577367105788159981438666368,6,,572896
grafo10533.100.txt,166,1116,0.9161,75765351525353878701765811733388000,6,,423908
grafo10534.100.txt,165,915,0.5941,6190404474802541320344211290206208,8,,36265
grafo10536.99.txt,154,737,0.1481,90219383710204418073507359520,8,,27560
grafo10537.95.txt,,,TO,,,,
grafo10538.100.txt,176,931,0.6699,795036054653018287978412196,11,,307296
grafo10547.94.txt,160,1118,0.3405,6784952125033040430938400,10,,101454
grafo10549.99.txt,171,1562,0.6776,1145040940241452014901674319885248,7,,103214
grafo10552.96.txt,170,1188,1.4958,20889029397226285157195570148,9,,449033
grafo10560.95.txt,156,830,0.1988,10454917675207673432929607718912,7,,43405
grafo10575.99.txt,173,1229,7.4964,290401904358524035719206484192,9,,407992
grafo10577.100.txt,182,2713,1.3108,289452947838024215689962434880,7,,97841
grafo10578.96.txt,165,957,0.1718,63978261035298507640733940,6,,23753
grafo10586.100.txt,162,827,0.3084,3159527635877864048932738800,6,,70929
grafo10589.93.txt,165,1318,2.5753,48905720858960060291749968450,8,,226223
grafo10592.98.txt,157,799,0.2441,2607343682329504256862467094951600,8,,103326
grafo10596.99.txt,156,696,0.1408,112465313385181924312362654720,8,,67780
grafo10603.100.txt,162,554,0.5843,670510578138777061840000,5,,298613
grafo10608.93.txt,155,823,0.9843,2990252860992399674047889600,6,,46550
grafo10624.91.txt,149,701,0.0586,28252598579182428029482758660,8,,16720
grafo10626.100.txt,163,636,0.0476,123805968402809495607386400,7,,18571
grafo10630.94.txt,158,837,2.3094,42203028634531492749435200,6,,837868
grafo10632.100.txt,164,1556,0.4589,574873638719068404760642606008000,8,,81673
grafo10633.100.txt,179,4742,524.3684,4051184213898141958008000,7,,1465616
grafo10634.96.txt,170,1196,0.7535,1654795573774103110564694557332,6,,299013
grafo10635.95.txt,163,840,0.7657,71356613932690877273184000,10,,72864
grafo10637.94.txt,152,600,0.1622,11214433932496991100576672,8,,76269
grafo10638.100.txt,162,599,1.1055,262011175215511354440192,10,,78013
grafo10644.100.txt,163,804,0.3488,879696743017814604656785638,8,,118543
