Instance,#cols,#rows,DLX,Solutions,Max Blocks,|ZDD|,|DNNF|
meteor.txt,60,2464,5.1179,9212,,,
sppaa01.txt,,,TO,,,,
sppaa02.txt,,,TO,,,,
sppaa03.txt,,,TO,,,,
sppaa04.txt,,,TO,,,,
sppaa05.txt,,,TO,,,,
sppaa06.txt,,,TO,,,,
sppkl01.txt,,,TO,,,,
sppkl02.txt,,,TO,,,,
sppnw01.txt,,,TO,,,,
sppnw02.txt,,,TO,,,,
sppnw03.txt,,,TO,,,,
sppnw04.txt,,,TO,,,,
sppnw05.txt,,,TO,,,,
sppnw06.txt,,,TO,,,,
sppnw07.txt,,,TO,,,,
sppnw08.txt,24,434,0.0763,285701,,,
sppnw09.txt,,,TO,,,,
sppnw10.txt,24,853,0.2945,318168,,,
sppnw11.txt,,,TO,,,,
sppnw12.txt,27,626,237.4014,496333530,,,
sppnw13.txt,,,TO,,,,
sppnw14.txt,,,TO,,,,
sppnw15.txt,31,467,0.0046,46,,,
sppnw16.txt,,,TO,,,,
sppnw17.txt,,,TO,,,,
sppnw18.txt,,,TO,,,,
sppnw19.txt,,,TO,,,,
sppnw20.txt,22,685,0.1148,538696,,,
sppnw21.txt,25,577,0.0711,291047,,,
sppnw22.txt,23,619,0.0884,286758,,,
sppnw23.txt,19,711,0.1003,80524,,,
sppnw24.txt,19,1366,0.3149,725183,,,
sppnw25.txt,20,1217,0.5505,2225105,,,
sppnw26.txt,23,771,0.6536,805896,,,
sppnw27.txt,22,1355,0.3886,1046161,,,
sppnw28.txt,18,1210,0.0114,20117,,,
sppnw29.txt,18,2540,6.7628,16937938,,,
sppnw30.txt,26,2653,3.6893,4122439,,,
sppnw31.txt,26,2662,1.2055,3450340,,,
sppnw32.txt,19,294,0.0202,127126,,,
sppnw33.txt,23,3068,3.5406,4589163,,,
sppnw34.txt,20,899,0.1909,977866,,,
sppnw35.txt,23,1709,0.3926,184967,,,
sppnw36.txt,20,1783,0.1282,25474,,,
sppnw37.txt,19,770,0.7349,3740550,,,
sppnw38.txt,23,1220,1.1542,221108,,,
sppnw39.txt,25,677,0.2811,737597,,,
sppnw40.txt,19,404,0.0605,298956,,,
sppnw41.txt,17,197,0.0224,163155,,,
sppnw42.txt,23,1079,0.6598,230326,,,
sppnw43.txt,18,1072,1.8012,5442901,,,
sppus02.txt,,,TO,,,,
sppus03.txt,,,TO,,,,
sppus04.txt,,,TO,,,,
sts15-blk-00001.ec,48,64,0.0004,576,,,
sts15-blk-00002.ec,48,72,0.0002,288,,,
sts15-blk-00003.ec,48,72,0.0001,144,,,
sts15-blk-00004.ec,48,72,0.0001,144,,,
sts15-blk-00005.ec,48,72,0.0000 (WARNING: 0 solutions),0,,,
sts15-blk-00006.ec,48,76,0.0001,40,,,
sts15-blk-00007.ec,48,76,0.0000,8,,,
sts15-blk-00008.ec,48,76,0.0001,40,,,
sts15-blk-00009.ec,48,76,0.0000,8,,,
sts15-blk-00010.ec,48,76,0.0001,64,,,
sts15-blk-00011.ec,48,76,0.0000,8,,,
sts15-blk-00012.ec,48,76,0.0000,16,,,
sts15-blk-00013.ec,48,76,0.0000,8,,,
sts15-blk-00014.ec,48,72,0.0000 (WARNING: 0 solutions),0,,,
sts15-blk-00015.ec,48,74,0.0000 (WARNING: 0 solutions),0,,,
sts15-blk-00016.ec,48,76,0.0000 (WARNING: 0 solutions),0,,,
sts15-blk-00017.ec,48,76,0.0000,16,,,
sts15-blk-00018.ec,48,76,0.0000,8,,,
sts15-blk-00019.ec,48,76,0.0001,32,,,
sts15-blk-00020.ec,48,75,0.0001,28,,,
sts15-blk-00021.ec,48,76,0.0001,40,,,
sts15-blk-00022.ec,48,74,0.0001,24,,,
sts15-blk-00023.ec,48,74,0.0001,20,,,
sts15-blk-00024.ec,48,74,0.0001,16,,,
sts15-blk-00025.ec,48,76,0.0001,20,,,
sts15-blk-00026.ec,48,76,0.0001,40,,,
sts15-blk-00027.ec,48,76,0.0001,40,,,
sts15-blk-00028.ec,48,72,0.0001,24,,,
sts15-blk-00029.ec,48,74,0.0001,16,,,
sts15-blk-00030.ec,48,74,0.0001,20,,,
sts15-blk-00031.ec,48,74,0.0001,20,,,
sts15-blk-00032.ec,48,74,0.0001,24,,,
sts15-blk-00033.ec,48,74,0.0001,48,,,
sts15-blk-00034.ec,48,74,0.0001,24,,,
sts15-blk-00035.ec,48,71,0.0001,48,,,
sts15-blk-00036.ec,48,75,0.0001,16,,,
sts15-blk-00037.ec,48,76,0.0000,8,,,
sts15-blk-00038.ec,48,76,0.0000,8,,,
sts15-blk-00039.ec,48,76,0.0001,24,,,
sts15-blk-00040.ec,48,76,0.0001,32,,,
