Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10204.100.txt,165,1280,21.0258,29653634220956689822243990543620,,9139097,
grafo10205.97.txt,157,808,2.2776,1047098415602374598602584000,,1202289,
grafo10207.98.txt,156,891,0.3240,407524009110382244942767825920,,213304,
grafo10209.99.txt,160,838,3.0733,1778405449717739049871792464,,1493393,
grafo10215.93.txt,149,638,0.0515,4429033439896804903015219200,,50463,
grafo10218.99.txt,172,1568,,,,,
grafo10220.97.txt,159,1339,3.6346,1790803918795800975261000000,,1908685,
grafo10223.100.txt,158,1123,1.0633,328757268525449878800124560,,519374,
grafo10237.100.txt,169,3988,,,,,
grafo10244.99.txt,169,1740,96.0716,9063529462889658358520613552,,36552262,
grafo10250.100.txt,162,906,1.9699,114853934521809322735985295360,,1068537,
grafo10259.100.txt,178,3900,2.8903,64248824441935463807851574382,,541183,
grafo10262.100.txt,159,720,0.7794,6525746259024633846681600,,447768,
grafo10265.100.txt,154,527,0.0817,32094343893604867070884746240,,61849,
grafo10266.94.txt,146,604,0.0448,110801121815568366975240,,44114,
grafo10269.99.txt,165,1798,7.9826,380480960212526987313930000,,3493265,
grafo10273.97.txt,160,1216,8.6587,33635959924701462697224504000,,3704393,
grafo10275.97.txt,156,899,3.0308,244643951180904348970673677224,,1440719,
grafo10288.95.txt,151,639,0.1146,67924379474503634175654704000,,99480,
grafo10291.93.txt,145,744,0.6070,8089182960223746111277546359360,,349430,
grafo10292.100.txt,185,7094,,,,,
grafo10293.99.txt,166,870,0.1460,1189967169400391312521176624192,,98966,
grafo10297.98.txt,159,712,0.0381,5047361956059511058420258045952,,41429,
grafo10298.97.txt,161,887,2.6761,6411956755318891248938904345600,,1338769,
grafo10303.96.txt,164,749,0.1574,336623282871798635541043488000,,126006,
grafo10305.100.txt,179,1630,0.3151,292616449355000172969265830912,,176089,
grafo10318.98.txt,162,1251,32.9184,160075982472899032252173236160,,12592229,
grafo10325.96.txt,157,888,,,,,
grafo10327.97.txt,158,709,1.2350,6668191872233180852367168,,665611,
