Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
grafo10393.96.txt,306.2253,425493453186964623118066838730,,306.4411,425493453186964623118066838730,,262.9071,425493453186964623118066838730,,263.3210,425493453186964623118066838730,
grafo10405.97.txt,36.4172,422648839585725195128400,,36.5035,422648839585725195128400,,37.1559,422648839585725195128400,,37.1487,422648839585725195128400,
grafo10409.96.txt,0.4010,139058476479714794419701648,,0.4002,139058476479714794419701648,,0.2040,139058476479714794419701648,,0.2054,139058476479714794419701648,
grafo10416.96.txt,0.4059,271249176254157952533452952,,0.4061,271249176254157952533452952,,0.2508,271249176254157952533452952,,0.2387,271249176254157952533452952,
grafo10418.100.txt,0.3970,147754061920021215867995714457600,,0.3963,147754061920021215867995714457600,,0.2329,147754061920021215867995714457600,,0.2523,147754061920021215867995714457600,
grafo10420.97.txt,0.3306,40799332872710765774848481424384,,0.3313,40799332872710765774848481424384,,0.1390,40799332872710765774848481424384,,0.1587,40799332872710765774848481424384,
grafo10421.99.txt,1.1354,52350402903229612656419750400,,1.1348,52350402903229612656419750400,,0.4463,52350402903229612656419750400,,0.4731,52350402903229612656419750400,
grafo10426.100.txt,37.5443,1827793168247687543855740545483964,,37.5164,1827793168247687543855740545483964,,34.3288,1827793168247687543855740545483964,,34.3973,1827793168247687543855740545483964,
grafo10432.99.txt,1.3504,39585030704867624378340600668160,,1.3530,39585030704867624378340600668160,,1.1139,39585030704867624378340600668160,,1.0941,39585030704867624378340600668160,
grafo10434.98.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10436.95.txt,2.9435,4397495877745499771502988640640,,2.9465,4397495877745499771502988640640,,1.7016,4397495877745499771502988640640,,1.7272,4397495877745499771502988640640,
grafo10441.98.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10444.100.txt,1.1245,16141694039854526732472576000000,,1.1330,16141694039854526732472576000000,,0.7225,16141694039854526732472576000000,,0.7391,16141694039854526732472576000000,
grafo10445.94.txt,1.8478,139093054073990193881088000,,1.8522,139093054073990193881088000,,0.9510,139093054073990193881088000,,0.9722,139093054073990193881088000,
grafo10446.95.txt,0.3597,1406626619252431805138851200,,0.3586,1406626619252431805138851200,,0.2427,1406626619252431805138851200,,0.2465,1406626619252431805138851200,
grafo10452.94.txt,0.1925,1302522886890895552129225440,,0.1931,1302522886890895552129225440,,0.0772,1302522886890895552129225440,,0.0864,1302522886890895552129225440,
grafo10453.97.txt,0.8917,978126309502359359394781347840,,0.8893,978126309502359359394781347840,,0.7395,978126309502359359394781347840,,0.7233,978126309502359359394781347840,
grafo10467.100.txt,1.3613,829005255557150402856812544000,,1.3636,829005255557150402856812544000,,1.0632,829005255557150402856812544000,,1.0759,829005255557150402856812544000,
