instance,Dyn_time,Dyn_cc_cpu_time,DXD_time,DXD_cc_cpu_time
grafo10099.94,0.901861,0.166387,1.246253,0.569791
grafo10100.99,0.334670,0.067474,0.479449,0.249593
grafo10105.93,0.842857,0.100309,1.122085,0.385665
grafo10112.98,0.894267,0.132019,1.191556,0.407808
grafo10113.94,0.351432,0.070044,0.483204,0.176028
grafo10124.100,4.177611,0.788857,5.113407,2.455322
grafo10129.99,3.106907,0.040010,3.126850,0.166659
grafo10146.97,0.253737,0.050771,0.336960,0.142767
grafo10156.97,0.318377,0.068390,0.414896,0.168164
grafo10161.99,1.715128,0.098681,2.008494,0.346857
grafo10162.93,0.452011,0.052059,0.610451,0.199167
grafo10171.99,0.268777,0.050361,0.367219,0.148271
grafo10175.99,0.195354,0.043388,0.272079,0.117123
grafo10176.97,0.591675,0.108624,0.775861,0.333049
grafo10179.97,5.473299,0.910900,7.794502,3.368275
grafo10184.100,0.134236,0.021794,0.175035,0.056093
grafo10195.99,0.089739,0.019047,0.112099,0.047001
grafo10203.97,0.059439,0.012261,0.078031,0.026124
grafo10204.100,0.657732,0.107684,0.889487,0.324353
grafo10205.97,0.050400,0.009783,0.067198,0.022517
grafo10207.98,0.088679,0.013140,0.110636,0.032582
grafo10209.99,0.161381,0.032725,0.211766,0.082548
grafo10215.93,0.044074,0.008837,0.057864,0.019085
grafo10220.97,0.410710,0.039242,0.538632,0.154535
grafo10223.100,0.268925,0.029795,0.346761,0.096900
grafo10244.99,0.480726,0.045721,0.595206,0.143320
grafo10250.100,0.157109,0.025558,0.201507,0.064355
grafo10262.100,0.051990,0.009809,0.068968,0.027801
grafo10265.100,0.048324,0.011449,0.058333,0.026556
grafo10266.94,0.073939,0.013146,0.093904,0.034664
grafo10269.99,0.251563,0.026589,0.315358,0.103050
grafo10273.97,0.341157,0.059895,0.436214,0.168115
grafo10275.97,1.459238,0.283138,1.991616,0.859590
grafo10288.95,0.062881,0.013261,0.078246,0.026702
grafo10291.93,0.289011,0.058133,0.392445,0.163740
grafo10293.99,0.072178,0.014240,0.101868,0.033893
grafo10297.98,0.080107,0.016196,0.106230,0.037942
grafo10298.97,0.066174,0.012289,0.086122,0.027373
grafo10303.96,0.074699,0.014652,0.099049,0.035835
grafo10305.100,0.183355,0.018941,0.220037,0.051799
grafo10318.98,0.472080,0.067323,0.624225,0.207396
grafo10327.97,0.098019,0.019839,0.131603,0.053728
grafo10339.95,0.959814,0.145411,1.310591,0.542915
grafo10346.97,0.554090,0.113638,0.732292,0.374949
grafo10351.97,1.505684,0.181794,2.006910,0.680944
grafo10353.99,0.631191,0.130542,0.837482,0.378764
grafo10354.99,0.075452,0.012909,0.094196,0.037736
grafo10359.95,3.214993,0.529830,4.724620,2.389817
grafo10365.97,2.882546,0.358932,4.936296,2.365688
grafo10369.100,0.081026,0.009210,0.092776,0.021011
grafo10387.97,0.022354,0.004025,0.032986,0.011273
grafo10388.95,0.188524,0.033010,0.260008,0.090783
grafo10409.96,0.071197,0.012396,0.089621,0.032041
grafo10416.96,0.078632,0.014728,0.096750,0.033566
grafo10418.100,0.079138,0.014418,0.097147,0.031004
grafo10420.97,0.065057,0.013397,0.087975,0.029005
grafo10421.99,0.197655,0.032463,0.252213,0.086753
grafo10426.100,6.204286,1.109843,8.871164,4.045592
grafo10432.99,0.218170,0.046127,0.308293,0.137324
grafo10436.95,0.516838,0.070296,0.662805,0.191180
grafo10444.100,0.207113,0.041133,0.273419,0.099599
