Instance,#cols,#rows,MDLX,Solutions,Max Blocks,|ZDD|,|DNNF|
SwitchL3.txt,54,226,0.0073,2814573775104,6,,
Syringa.txt,126,683,18.9283,10089788438219191257523968000,9,,
TataNld.txt,247,1196,3.1049,116699270316984507028179654846752222085120000,12,,
Telcove.txt,113,1655,2.7583,74165451814712814103255500,11,,
Tinet.txt,94,548,0.8230,13027376900512716134400,7,,
Tw.txt,126,868,1.0913,3790029909358778736510720000,10,,
Ulaknet.txt,84,2437,6.8628,756492510715200,13,,
Uninett2010.txt,138,1439,22.7485,120545239248463249868042304,10,,
Uninett2011.txt,,,TO,,,,
UsCarrier.txt,272,2973,287.5844,132299646414148921973967297061663323763487466000,14,,
UsSignal.txt,102,631,2.5334,3542621686896383831250,9,,
Uunet.txt,64,267,0.0362,1505816007051840,6,,
VtlWavenet2008.txt,160,721,461.5762,124108206211482212912333137920,15,,
VtlWavenet2011.txt,167,804,94.1672,2067181203168727884189854085729600,11,,
bell-06.ec,6,63,0.0020,203,1,,
bell-07.ec,7,127,0.0095,877,1,,
bell-08.ec,8,255,0.0479,4140,1,,
bell-09.ec,9,511,0.2591,21147,1,,
bell-10.ec,10,1023,1.4831,115975,1,,
bell-11.ec,11,2047,8.9103,678570,1,,
bell-12.ec,,,TO,,,,
delta.txt,126,1194,271.0470,78,28,,
dominoes_10x10.txt,100,180,TO,,,,
dominoes_10x12.txt,120,218,TO,,,,
dominoes_12x12.txt,144,264,TO,,,,
dominoes_8x10.txt,80,142,TO,,,,
dominoes_8x8.txt,64,112,397.7560,12988816,2,,
doublefact-09.ec,10,45,0.0081,945,1,,
doublefact-11.ec,12,66,0.0879,10395,1,,
doublefact-13.ec,14,91,1.1471,135135,1,,
doublefact-15.ec,16,120,17.5112,2027025,1,,
doublefact-17.ec,18,153,291.8531,34459425,1,,
doublefact-19.ec,20,190,TO,,,,
doublefact-21.ec,22,231,TO,,,,
doublefact-23.ec,24,276,TO,,,,
doublefact-25.ec,26,325,TO,,,,
doublefact-27.ec,28,378,TO,,,,
doublefact-29.ec,30,435,TO,,,,
exotic_fives.txt,72,2440,TO,,,,
grafo10006.98.txt,158,985,28.5768,272471817868228000342011539250,12,,
