SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo1784.31,148.583875976,18200
grafo1795.82,65.957595295,16875
grafo1797.47,275.303284154,2065554
grafo1798.74,193.944597751,2160000
grafo1813.97,113.081644076,81375
grafo1826.43,292.733097573,133406250
grafo1829.46,265.621053406,33730625
grafo1834.32,241.984884893,9199668375000
grafo1843.50,266.483569461,81589881600
grafo1846.61,169.145957687,501150
grafo1847.25,92.59594847,1169600
grafo1852.92,236.380263346,484375
grafo1853.44,74.544075392,15625
grafo1862.61,36.538142613,625
grafo186.43,205.393054324,15625
grafo1868.25,231.717301907,47000000
grafo1871.71,216.278484578,578125
grafo1873.31,47.969042869,4800
grafo1875.69,58.799077828,1638648
grafo1876.98,101.575315946,422500
grafo1885.100,72.484366076,750
grafo1886.31,212.054561557,19375
grafo1889.14,192.409030549,15625
grafo1890.40,86.780499193,456300
grafo1895.13,107.524675056,10562500
grafo1896.25,99.287728827,438750
grafo1901.94,83.218134812,113022
grafo1909.23,183.055039633,455000
grafo190.92,226.15667729,116350
grafo1916.59,177.461379191,825
grafo1921.58,213.484691001,50400000
grafo1924.94,40.896862624,625
grafo1927.43,104.324765535,673536864
grafo1932.29,398.929991986,9085926246051600
grafo193.97,170.468197175,16900
grafo1942.55,187.671371301,21875
grafo1947.54,202.311159907,868000
grafo1948.20,178.77476014,609375
grafo1958.22,114.223609421,500000
grafo1962.35,201.830107177,31050
grafo196.32,206.032073381,11407500
grafo1964.82,207.440440027,473850
grafo1968.88,82.848964033,390625
grafo1969.60,197.431416791,70350000
grafo1974.88,178.41646199,975
grafo1976.78,179.153862388,438750
grafo1980.15,246.667653531,161020000
grafo1981.46,270.491421228,524265000
grafo1982.60,153.285130206,336099375
grafo1986.51,67.534206127,20625
grafo1987.55,82.97572381099999,850
grafo1989.86,177.336442316,700
grafo1991.20,30.825057223,625
grafo1994.50,55.027148029,15625
grafo1999.21,309.811840839,8901250
grafo2002.57,81.836034439,27500
grafo200.67,93.92723104300001,406250
grafo2007.66,220.632946915,30544375
grafo2011.47,57.180162224,625
grafo2024.25,206.212206778,2928744
grafo2029.87,197.421161129,1890972
grafo2035.93,230.837131598,390625
grafo2040.91,199.773883049,126000
grafo2058.90,74.16897315200001,1870
grafo2060.38,54.603535719,625
grafo2064.60,224.678791199,14468125
grafo2065.22,112.455879601,10500000
grafo206.83,209.393586119,607600
grafo2072.64,224.066474819,13213125
grafo2076.54,91.68052573,4421200
grafo2080.89,142.310130066,32922600
grafo2082.19,194.776188157,661150
grafo2083.59,71.844480468,2280850
grafo2084.22,312.33789353,281834786829375
grafo2086.80,90.258050416,37700
grafo2088.76,119.51404426,676
grafo2089.37,208.903122809,18347238
grafo2096.15,142.679831545,734375
grafo2101.28,49.562431755,18750
grafo2102.43,270.162476535,262287000000
grafo2106.55,256.692740761,10005929025
