Instance,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
VtlWavenet2011.txt,0.0292,165880000,14,0.0311,165880000,14,0.0299,165880000,14
WideJpn.txt,0.2297,45000,6,0.2345,45000,6,0.2352,45000,6
Xeex.txt,0.0272,326700000,16,0.0260,326700000,16,0.0263,326700000,16
York.txt,0.0853,1111359488,11,0.0878,1111359488,11,0.0928,1111359488,11
Zamren.txt,0.0233,3700000,13,0.0232,3700000,13,0.0230,3700000,13
grafo120.40.txt,0.3501,3286,5,0.3455,3286,5,0.3427,3286,5
grafo121.20.txt,0.0288,13000000,15,0.0305,13000000,15,0.0260,13000000,15
grafo124.28.txt,1.7130,33926375,5,1.7130,33926375,5,1.7056,33926375,5
grafo125.32.txt,0.0428,1320000,13,0.0417,1320000,13,0.0441,1320000,13
grafo126.22.txt,0.0435,689700000,16,0.0490,689700000,16,0.0435,689700000,16
grafo127.21.txt,0.3387,6482025,8,0.3381,6482025,8,0.3380,6482025,8
grafo128.35.txt,0.0805,2995200,10,0.0801,2995200,10,0.0781,2995200,10
grafo142.33.txt,0.0428,211200000,16,0.0447,211200000,16,0.0479,211200000,16
grafo143.29.txt,0.1561,1152,4,0.1554,1152,4,0.1588,1152,4
grafo144.12.txt,0.0368,284544000,14,0.0430,284544000,14,0.0366,284544000,14
grafo150.31.txt,0.3459,1397687500,9,0.3385,1397687500,9,0.3358,1397687500,9
grafo159.24.txt,0.1858,16900,7,0.1824,16900,7,0.1840,16900,7
grafo161.31.txt,0.2180,75600,6,0.2134,75600,6,0.2204,75600,6
grafo162.24.txt,0.0356,89812800,12,0.0360,89812800,12,0.0359,89812800,12
grafo166.10.txt,0.0423,20000000,15,0.0392,20000000,15,0.0366,20000000,15
grafo167.22.txt,0.0928,1566720,11,0.0917,1566720,11,0.0898,1566720,11
grafo173.26.txt,0.0766,2894080,11,0.0691,2894080,11,0.0690,2894080,11
grafo174.27.txt,0.1737,675,5,0.1789,675,5,0.1734,675,5
grafo175.23.txt,0.1801,650,4,0.1874,650,4,0.1799,650,4
grafo177.11.txt,0.0517,26730000,13,0.0517,26730000,13,0.0530,26730000,13
grafo179.35.txt,0.2055,1644226560,11,0.2112,1644226560,11,0.2128,1644226560,11
grafo180.27.txt,0.1353,861250,9,0.1412,861250,9,0.1399,861250,9
grafo183.28.txt,0.0841,1044480,11,0.0851,1044480,11,0.0930,1044480,11
grafo184.41.txt,0.0421,1540000,12,0.0432,1540000,12,0.0432,1540000,12
grafo188.23.txt,0.1739,19375,7,0.1729,19375,7,0.1681,19375,7
grafo193.12.txt,0.0323,1210000,13,0.0334,1210000,13,0.0356,1210000,13
grafo194.23.txt,0.1885,1225,4,0.1934,1225,4,0.1923,1225,4
grafo196.30.txt,0.2047,19375,7,0.1874,19375,7,0.1870,19375,7
grafo197.15.txt,0.1350,960,4,0.1356,960,4,0.1331,960,4
grafo198.18.txt,0.2688,341656250,8,0.2732,341656250,8,0.2682,341656250,8
grafo211.14.txt,0.0384,5280000,13,0.0407,5280000,13,0.0358,5280000,13
grafo216.18.txt,0.1135,1575,5,0.1103,1575,5,0.1111,1575,5
grafo218.17.txt,0.0415,41140000,14,0.0387,41140000,14,0.0384,41140000,14
grafo220.13.txt,0.3330,153125,7,0.3350,153125,7,0.3319,153125,7
grafo221.15.txt,0.0351,1000000,12,0.0366,1000000,12,0.0370,1000000,12
grafo229.13.txt,0.0856,6057984,11,0.0854,6057984,11,0.0839,6057984,11
grafo230.14.txt,0.0357,1560000,13,0.0399,1560000,13,0.0369,1560000,13
grafo233.11.txt,0.1436,4605358680,11,0.1440,4605358680,11,0.1465,4605358680,11
grafo234.12.txt,0.0942,921600,10,0.0774,921600,10,0.0788,921600,10
grafo236.15.txt,0.1799,9475,5,0.1764,9475,5,0.1807,9475,5
grafo237.16.txt,0.1020,154387200,10,0.1027,154387200,10,0.0997,154387200,10
grafo238.10.txt,0.0432,143070000,12,0.0426,143070000,12,0.0415,143070000,12
grafo242.14.txt,0.1327,406250,8,0.1308,406250,8,0.1252,406250,8
grafo245.21.txt,0.0728,3465216,11,0.0789,3465216,11,0.0743,3465216,11
grafo246.11.txt,0.0797,864000,11,0.0816,864000,11,0.0833,864000,11
grafo247.15.txt,0.0328,1210000,12,0.0348,1210000,12,0.0354,1210000,12
grafo249.22.txt,0.2476,10693750,9,0.2389,10693750,9,0.2352,10693750,9
grafo250.13.txt,0.1407,116532637200,10,0.1325,116532637200,10,0.1407,116532637200,10
grafo259.12.txt,0.1926,16900,6,0.1867,16900,6,0.1897,16900,6
