dataset,instance,input,status,validation_errors,time_s,stats_complete,ett_row_threshold,cc_calls,dec_cc_calls,inc_cc_calls,merges,tree_edge_cuts,non_tree_edge_cuts,splits,decompose,cc_computations,vertex_sum,edge_sum,updated_vertex_sum,updated_edge_sum,ett_vertex_sum,ett_edge_sum,ett_updated_vertex_sum,ett_updated_edge_sum,non_ett_vertex_sum,non_ett_edge_sum,non_ett_updated_vertex_sum,non_ett_updated_edge_sum,ett_cc_times,non_ett_cc_times,ett_full_edge_sum,ett_replacement_scan_sum,dynamic_scanned_edge_sum,replacement_searches,replacement_scan_steps
exact_cover_benchmarks,doublefact-25,data/batch_2/exact_cover_benchmarks/doublefact-25.ec,sampled,,300.005927,0,50,2024664,1012332,1012332,27211883,35678514,114439935,8466631,0,86749,5866694,36675658782,21613522,344809998,4550093,36666183030,16933262,300236898,1316601,9475752,4680260,44573100,48425,38324,33405859075,16295857529,16305333281,35678514,16295857529
exact_cover_benchmarks,doublefact-27,data/batch_2/exact_cover_benchmarks/doublefact-27.ec,sampled,,300.009583,0,50,2001392,1000696,1000696,26717702,35035623,112430082,8317921,0,85955,5787387,36077173422,21316102,339504510,4470786,36067697670,16635842,294931410,1316601,9475752,4680260,44573100,47631,38324,32863936343,16033512451,16042988203,35035623,16033512451
exact_cover_benchmarks,doublefact-29,data/batch_2/exact_cover_benchmarks/doublefact-29.ec,sampled,,180.015277,0,50,1650138,825069,825069,17940706,23746286,72721303,5805580,0,75014,4449072,20133970607,16291420,237508278,3132471,20124494855,11611160,192935178,1316601,9475752,4680260,44573100,36690,38324,18198191961,8905356058,8914831810,23746286,8905356058
exact_cover_benchmarks,kts15-ptpt-0003,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0003.ec,success,,6.802904,1,50,21406,10703,10703,271545,344952,1779068,73407,3458,8461,465975,834499726,188348,4620418,347432,833738726,146814,4248040,118543,761000,41534,372378,3591,4870,781925758,269107336,269868336,344952,269107336
exact_cover_benchmarks,kts15-ptpt-0004,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0004.ec,success,,10.627844,1,50,29422,14711,14711,408035,515244,2668064,107209,4679,11557,674585,1307497966,270284,6888350,512888,1306405946,214416,6366616,161697,1092020,55868,521734,5206,6351,1226940879,425634184,426726204,515244,425634184
exact_cover_benchmarks,kts15-ptpt-0006,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0006.ec,success,,8.943110,1,50,27070,13535,13535,348722,442233,2301331,93511,4315,10628,590462,1098801618,239376,5960006,442475,1097837274,187022,5487128,147987,964344,52354,472878,4545,6083,1030528761,361198390,362162734,442233,361198390
exact_cover_benchmarks,kts15-ptpt-0007,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0007.ec,success,,8.622570,1,50,26338,13169,13169,339102,429486,2190800,90384,4257,10401,567982,1030407270,232030,5699774,419061,1029446303,180768,5240572,148921,960967,51262,459202,4367,6034,965566171,336814182,337775149,429486,336814182
exact_cover_benchmarks,kts15-ptpt-0009,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0009.ec,success,,9.998044,1,50,33966,16983,16983,423451,537371,2706274,113920,5408,13344,715601,1240336509,293726,7082496,521493,1239076508,227836,6487290,194108,1260001,65890,595206,5571,7773,1160845934,405611081,406871082,537371,405611081
exact_cover_benchmarks,kts15-ptpt-0011,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0011.ec,success,,10.129590,1,50,34440,17220,17220,428074,543829,2756766,115755,5523,13568,732524,1261092153,299254,7218500,533897,1259793005,231510,6601190,198627,1299148,67744,617310,5632,7936,1180278988,414500960,415800108,543829,414500960
exact_cover_benchmarks,kts15-ptpt-0012,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0012.ec,success,,5.827358,1,50,19574,9787,9787,251816,318732,1606590,66916,3131,7702,429521,757770630,170968,4186936,320858,757064216,133832,3850644,108663,706414,37136,336292,3337,4365,709596273,242897356,243603770,318732,242897356
exact_cover_benchmarks,kts15-ptpt-0013,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0013.ec,success,,12.509684,1,50,46456,23228,23228,542303,689766,3380158,147463,7370,18193,951261,1478945999,385692,8940312,687510,1477266940,294926,8139848,263751,1679059,90766,800464,7421,10772,1379615729,478110166,479789225,689766,478110166
exact_cover_benchmarks,kts15-ptpt-0014,data/batch_2/exact_cover_benchmarks/kts15-ptpt-0014.ec,success,,10.414565,1,50,34978,17489,17489,448453,567722,2827301,119269,5346,13522,766465,1356835309,303386,7375064,575380,1355581416,238538,6790046,191085,1253893,64848,585018,5931,7591,1270162276,437658953,438912846,567722,437658953
