dataset,instance,merges,tree_edge_cuts
graphs_set,grafo8864.98,62697,133784
graphs_set,grafo8865.100,,
graphs_set,grafo8867.97,1339053,3037941
graphs_set,grafo8882.100,239624,506514
graphs_set,grafo8892.100,29416,63431
graphs_set,grafo8893.96,9582,20277
graphs_set,grafo8921.98,58829,114339
graphs_set,grafo8943.98,224123,470872
graphs_set,grafo8963.92,169946,341379
graphs_set,grafo9008.91,80459,165115
graphs_set,grafo9357.99,,
graphs_set,grafo9362.98,346733,784925
graphs_set,grafo9691.79,28270,58701
graphs_set,grafo9738.100,1986561,4648969
graphs_set,grafo9788.80,34596,71049
graphs_set,grafo9973.96,222059,464377
graphs_set,grafo9984.96,57997,125999
graphs_set,grafo9995.94,150547,333157
exact_cover_benchmarks,kts15-ptpt-0003,20991,29412
exact_cover_benchmarks,kts15-ptpt-0004,37432,52075
exact_cover_benchmarks,kts15-ptpt-0006,30030,41952
exact_cover_benchmarks,kts15-ptpt-0007,30381,42702
exact_cover_benchmarks,kts15-ptpt-0009,37129,51996
exact_cover_benchmarks,kts15-ptpt-0011,40256,56062
exact_cover_benchmarks,kts15-ptpt-0012,17641,24703
exact_cover_benchmarks,kts15-ptpt-0013,49046,68270
exact_cover_benchmarks,kts15-ptpt-0014,44170,62548
exact_cover_benchmarks,kts15-ptpt-0015,42103,59581
exact_cover_benchmarks,kts15-ptpt-0016,35840,50008
exact_cover_benchmarks,kts15-ptpt-0017,29244,40957
exact_cover_benchmarks,kts15-ptpt-0018,34631,48568
exact_cover_benchmarks,kts15-ptpt-0020,52612,73976
exact_cover_benchmarks,kts15-ptpt-0021,53456,75242
exact_cover_benchmarks,latin6-blk-00001,462,1060
exact_cover_benchmarks,latin6-blk-00002,530,1164
exact_cover_benchmarks,latin6-blk-00003,720,1640
exact_cover_benchmarks,latin6-blk-00004,564,1240
exact_cover_benchmarks,latin6-blk-00005,712,1547
exact_cover_benchmarks,latin6-blk-00006,66,126
exact_cover_benchmarks,latin6-blk-00007,641,1412
exact_cover_benchmarks,latin7-blk-00001,90376,183904
exact_cover_benchmarks,latin7-blk-00002,107340,218026
exact_cover_benchmarks,latin7-blk-00003,118362,239103
exact_cover_benchmarks,latin7-blk-00004,129430,260580
exact_cover_benchmarks,latin7-blk-00005,124914,254242
exact_cover_benchmarks,latin7-blk-00006,152952,312616
exact_cover_benchmarks,latin7-blk-00007,108,162
exact_cover_benchmarks,latin7-blk-00008,150169,304159
exact_cover_benchmarks,latin7-blk-00009,148718,297609
set_partition_benchmarks,meteor,7160,8101
set_partition_benchmarks,sppnw08,87128,127671
set_partition_benchmarks,sppnw09,,
set_partition_benchmarks,sppnw10,47647,81098
set_partition_benchmarks,sppnw12,20178,29291
set_partition_benchmarks,sppnw15,26670,31445
set_partition_benchmarks,sppnw19,,
set_partition_benchmarks,sppnw20,912,960
set_partition_benchmarks,sppnw21,767,810
set_partition_benchmarks,sppnw22,882,948
