dataset,instance,input,status,stats_complete,time_s,cc_cpu_s,cc_cpu_ratio,solutions,cc_calls,dec_cc_calls,inc_cc_calls,merges,tree_edge_cuts,splits,merge_per_cc,split_per_cc,avg_v,avg_e,avg_vd,avg_ed,avg_en_per_update,avg_en_per_ed,replacement_search_calls,replacement_scan_steps,avg_scan_per_search,early_break_rate,full_scan_rate
set_partition_benchmarks,sppnw29,data/batch_2/set_partition_benchmarks/sppnw29.txt,timeout_partial,0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
set_partition_benchmarks,sppnw30,data/batch_2/set_partition_benchmarks/sppnw30.txt,timeout_partial,0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
set_partition_benchmarks,sppnw31,data/batch_2/set_partition_benchmarks/sppnw31.txt,timeout_partial,0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
set_partition_benchmarks,sppnw32,data/batch_2/set_partition_benchmarks/sppnw32.txt,success,1,19.188269,19.147563,0.997879,127126,9662,4831,4831,30196,41006,10810,3.1252328710411925,1.1188159801283377,20.53498240529911,471.77634030221486,17.375905609604636,600.9147174498033,186.03127135353535,700.5051699751256,41006,5661803,138.07255035848414,0.7363800419450812,0.2636199580549188
set_partition_benchmarks,sppnw33,data/batch_2/set_partition_benchmarks/sppnw33.txt,timeout,,,,,,,,,,,,,,,,,,,,,,,,
set_partition_benchmarks,sppnw34,data/batch_2/set_partition_benchmarks/sppnw34.txt,success,1,41.430590,41.066333,0.991208,977866,52238,26119,26119,959,1016,57,0.018358283242084307,0.001091159692178108,0.03878402695355871,12.446054596270914,37.948160343045295,1059.9771430759217,31240.3657362,230451.7627952756,1016,30138328,29663.708661417324,0.9438976377952756,0.05610236220472441
set_partition_benchmarks,sppnw35,data/batch_2/set_partition_benchmarks/sppnw35.txt,timeout_partial,0,,,,,19716,9860,9856,2201,2314,113,0.11163522012578617,0.005731385676607831,0.28662000405761817,163.8858794887401,64.03956177723676,3821.2790119699735,240767.537526625,656683.323681936,2314,42824048,18506.503025064823,0.9511668107173725,0.04883318928262748
set_partition_benchmarks,sppnw36,data/batch_2/set_partition_benchmarks/sppnw36.txt,timeout_partial,0,,,,,13366,6685,6681,2048,2103,55,0.15322459973065988,0.004114918449797995,0.33405656142450996,227.22961244949872,71.55873110878348,6145.327098608409,310240.4534916,704730.7337137422,2103,32320388,15368.705658582976,0.973846885401807,0.02615311459819306
set_partition_benchmarks,sppnw37,data/batch_2/set_partition_benchmarks/sppnw37.txt,success,1,54.399100,53.783530,0.988684,3740550,67120,33560,33560,2616,2657,41,0.03897497020262217,0.0006108462455303933,0.03824493444576877,9.019606674612634,43.62863528009535,1303.954380214541,62210.99276683333,56679.70267218668,2657,10198025,3838.172751223184,0.9845690628528415,0.015430937147158449
set_partition_benchmarks,sppnw38,data/batch_2/set_partition_benchmarks/sppnw38.txt,timeout_partial,0,122.206138,122.195611,0.999914,,300,152,148,15224,15384,160,50.74666666666667,0.5333333333333333,59.82,18459.736666666668,89.83666666666667,26025.52666666667,20839.526707903227,210627.15145605823,15384,112565547,7317.053237129485,0.9895995839833593,0.010400416016640665
set_partition_benchmarks,sppnw39,data/batch_2/set_partition_benchmarks/sppnw39.txt,success,1,28.532146,28.143614,0.986383,737597,55962,27981,27981,913,959,46,0.016314642078553303,0.0008219863478789179,0.03293306172045316,7.162181480290197,35.471069654408346,1120.3860476752081,25811.6628065,100014.54848800834,959,1795693,1872.4640250260688,0.9520333680917622,0.047966631908237745
set_partition_benchmarks,sppnw40,data/batch_2/set_partition_benchmarks/sppnw40.txt,success,1,4.495577,4.396019,0.977854,298956,22364,11182,11182,669,704,35,0.029914147737435164,0.0015650152030048292,0.05558039706671436,6.705866571275264,27.651046324450007,573.2999016276158,12442.302731857142,21178.99005681818,704,1043440,1482.159090909091,0.9502840909090909,0.04971590909090909
set_partition_benchmarks,sppnw41,data/batch_2/set_partition_benchmarks/sppnw41.txt,success,1,0.519262,0.494323,0.951971,163155,9796,4898,4898,279,313,34,0.028481012658227847,0.0034708044099632505,0.0823805634953042,4.078705594120049,17.490200081665986,171.0215394038383,3565.399257875,5151.830670926518,313,274773,877.8690095846646,0.8913738019169329,0.10862619808306709
set_partition_benchmarks,sppnw42,data/batch_2/set_partition_benchmarks/sppnw42.txt,success,1,97.370816,96.956536,0.995745,230326,19966,9983,9983,22055,22197,142,1.1046278673745367,0.007112090553941701,0.34298307122107585,134.716568165882,104.8293098267054,7205.4473605128715,209380.467275,354779.2865702572,22197,60445593,2723.1424516826596,0.9936027391088886,0.006397260891111411
set_partition_benchmarks,sppnw43,data/batch_2/set_partition_benchmarks/sppnw43.txt,timeout_partial,0,120.149637,120.106541,0.999641,,5296,2651,2645,13707,18343,4636,2.588179758308157,0.8753776435045317,24.496223564954683,1437.7802114803626,34.03191087613293,2225.9456193353476,658.9079938377614,20132.095894891783,18343,44072458,2402.6853840702174,0.747260535354086,0.25273946464591396
